step = 329, t = 0.00021982316997806294, dt = 2.0861289888616814e-7
step = 330, t = 0.00022003178287694912, dt = 2.0861289888616814e-7
step = 331, t = 0.0002202403957758353, dt = 2.0861289888616814e-7
step = 332, t = 0.00022042652372038243, dt = 1.8612794454712936e-7
step = 333, t = 0.00022061265166492956, dt = 1.8612794454712936e-7
step = 334, t = 0.0002207987796094767, dt = 1.8612794454712936e-7
step = 335, t = 0.00022098490755402382, dt = 1.8612794454712936e-7
step = 336, t = 0.00022117103549857095, dt = 1.8612794454712936e-7
step = 337, t = 0.00022135716344311808, dt = 1.8612794454712936e-7
step = 338, t = 0.00022152280786316017, dt = 1.656444200420972e-7
step = 339, t = 0.00022168845228320226, dt = 1.656444200420972e-7
step = 340, t = 0.00022185409670324435, dt = 1.656444200420972e-7
step = 341, t = 0.00022201974112328644, dt = 1.656444200420972e-7
step = 342, t = 0.00022218538554332853, dt = 1.656444200420972e-7
step = 343, t = 0.00022235102996337062, dt = 1.656444200420972e-7
step = 344, t = 0.00022251667438341272, dt = 1.656444200420972e-7
step = 345, t = 0.00022266527237412573, dt = 1.485979907130166e-7
step = 346, t = 0.00022281387036483875, dt = 1.485979907130166e-7
step = 347, t = 0.00022296246835555177, dt = 1.485979907130166e-7
step = 348, t = 0.00022311106634626478, dt = 1.485979907130166e-7
step = 349, t = 0.0002232596643369778, dt = 1.485979907130166e-7
step = 350, t = 0.00022340826232769082, dt = 1.485979907130166e-7
step = 351, t = 0.00022354155690366092, dt = 1.3329457597008825e-7
step = 352, t = 0.000223674851479631, dt = 1.3329457597008825e-7
step = 353, t = 0.0002238081460556011, dt = 1.3329457597008825e-7
step = 354, t = 0.0002239414406315712, dt = 1.3329457597008825e-7
step = 355, t = 0.0002240747352075413, dt = 1.3329457597008825e-7
step = 356, t = 0.0002242080297835114, dt = 1.3329457597008825e-7
step = 357, t = 0.0002243413243594815, dt = 1.3329457597008825e-7
step = 358, t = 0.0002244746189354516, dt = 1.3329457597008825e-7
step = 359, t = 0.00022460791351142169, dt = 1.3329457597008825e-7
step = 360, t = 0.00022474120808739178, dt = 1.3329457597008825e-7
step = 361, t = 0.00022487450266336188, dt = 1.3329457597008825e-7
step = 362, t = 0.00022500779723933197, dt = 1.3329457597008825e-7
step = 363, t = 0.00022514109181530207, dt = 1.3329457597008825e-7
step = 364, t = 0.00022527438639127217, dt = 1.3329457597008825e-7
step = 365, t = 0.00022540768096724226, dt = 1.3329457597008825e-7
step = 366, t = 0.00022554097554321236, dt = 1.3329457597008825e-7
step = 367, t = 0.00022567427011918246, dt = 1.3329457597008825e-7
step = 368, t = 0.00022580756469515255, dt = 1.3329457597008825e-7
step = 369, t = 0.00022594085927112265, dt = 1.3329457597008825e-7
step = 370, t = 0.00022607415384709274, dt = 1.3329457597008825e-7
step = 371, t = 0.00022620744842306284, dt = 1.3329457597008825e-7
step = 372, t = 0.00022634074299903294, dt = 1.3329457597008825e-7
step = 373, t = 0.00022647403757500303, dt = 1.3329457597008825e-7
step = 374, t = 0.00022660733215097313, dt = 1.3329457597008825e-7
step = 375, t = 0.00022674062672694322, dt = 1.3329457597008825e-7
step = 376, t = 0.00022687392130291332, dt = 1.3329457597008825e-7
step = 377, t = 0.00022700721587888342, dt = 1.3329457597008825e-7
step = 378, t = 0.0002271405104548535, dt = 1.3329457597008825e-7
step = 379, t = 0.0002272738050308236, dt = 1.3329457597008825e-7
step = 380, t = 0.0002274070996067937, dt = 1.3329457597008825e-7
step = 381, t = 0.0002275403941827638, dt = 1.3329457597008825e-7
step = 382, t = 0.0002276736887587339, dt = 1.3329457597008825e-7
